layer 0 	 size: 1 	 | 0 s
layer 1 	 size: 5 	 | 0 s
layer 2 	 size: 7 	 | 0 s
layer 3 	 size: 15 	 | 0 s
layer 4 	 size: 22 	 | 0 s
layer 5 	 size: 27 	 | 0 s
layer 6 	 size: 35 	 | 0 s
layer 7 	 size: 45 	 | 0 s
layer 8 	 size: 71 	 | 0 s
layer 9 	 size: 86 	 | 0 s
layer 10 	 size: 109 	 | 0 s
layer 11 	 size: 127 	 | 0 s
layer 12 	 size: 157 	 | 0 s
layer 13 	 size: 215 	 | 0 s
layer 14 	 size: 287 	 | 0 s
layer 15 	 size: 391 	 | 0 s
layer 16 	 size: 461 	 | 0 s
layer 17 	 size: 545 	 | 0 s
layer 18 	 size: 643 	 | 0 s
layer 19 	 size: 733 	 | 0 s
layer 20 	 size: 880 	 | 0 s
layer 21 	 size: 1071 	 | 0 s
layer 22 	 size: 1313 	 | 0 s
layer 23 	 size: 1585 	 | 0 s
layer 24 	 size: 1871 	 | 0 s
layer 25 	 size: 2161 	 | 0 s
layer 26 	 size: 2480 	 | 0 s
layer 27 	 size: 2868 	 | 0 s
layer 28 	 size: 3317 	 | 0 s
layer 29 	 size: 3726 	 | 0 s
layer 30 	 size: 4227 	 | 0 s
layer 31 	 size: 4813 	 | 0 s
layer 32 	 size: 5439 	 | 0 s
layer 33 	 size: 6073 	 | 0 s
layer 34 	 size: 6649 	 | 0 s
layer 35 	 size: 7226 	 | 0 s
layer 36 	 size: 7877 	 | 0 s
layer 37 	 size: 8537 	 | 0 s
layer 38 	 size: 9066 	 | 0 s
layer 39 	 size: 9612 	 | 0 s
layer 40 	 size: 10091 	 | 0 s
layer 41 	 size: 10761 	 | 0 s
layer 42 	 size: 11496 	 | 0 s
layer 43 	 size: 12289 	 | 0 s
layer 44 	 size: 13000 	 | 1 s
layer 45 	 size: 13453 	 | 1 s
layer 46 	 size: 14113 	 | 1 s
layer 47 	 size: 14792 	 | 1 s
layer 48 	 size: 15561 	 | 1 s
layer 49 	 size: 16321 	 | 1 s
layer 50 	 size: 17163 	 | 1 s
layer 51 	 size: 18080 	 | 1 s
layer 52 	 size: 19011 	 | 1 s
layer 53 	 size: 20141 	 | 2 s
layer 54 	 size: 20974 	 | 2 s
layer 55 	 size: 21673 	 | 2 s
layer 56 	 size: 22673 	 | 2 s
layer 57 	 size: 23966 	 | 2 s
layer 58 	 size: 25890 	 | 2 s
layer 59 	 size: 28182 	 | 3 s
layer 60 	 size: 30377 	 | 3 s
layer 61 	 size: 32374 	 | 3 s
layer 62 	 size: 34515 	 | 3 s
layer 63 	 size: 36978 	 | 4 s
layer 64 	 size: 39846 	 | 4 s
layer 65 	 size: 43014 	 | 4 s
layer 66 	 size: 46708 	 | 5 s
layer 67 	 size: 50606 	 | 5 s
layer 68 	 size: 54759 	 | 5 s
layer 69 	 size: 59218 	 | 6 s
layer 70 	 size: 63987 	 | 6 s
layer 71 	 size: 68480 	 | 7 s
layer 72 	 size: 73299 	 | 7 s
layer 73 	 size: 78243 	 | 8 s
layer 74 	 size: 82922 	 | 8 s
layer 75 	 size: 87728 	 | 9 s
layer 76 	 size: 92244 	 | 10 s
layer 77 	 size: 96704 	 | 10 s
layer 78 	 size: 100738 	 | 11 s
layer 79 	 size: 104016 	 | 12 s
layer 80 	 size: 106594 	 | 13 s
layer 81 	 size: 108435 	 | 14 s
layer 82 	 size: 110294 	 | 14 s
layer 83 	 size: 112708 	 | 15 s
layer 84 	 size: 114894 	 | 16 s
layer 85 	 size: 115941 	 | 17 s
layer 86 	 size: 116545 	 | 18 s
layer 87 	 size: 116770 	 | 19 s
layer 88 	 size: 116352 	 | 20 s
layer 89 	 size: 114934 	 | 20 s
layer 90 	 size: 112454 	 | 21 s
layer 91 	 size: 109552 	 | 22 s
layer 92 	 size: 106154 	 | 23 s
layer 93 	 size: 102177 	 | 24 s
layer 94 	 size: 98072 	 | 24 s
layer 95 	 size: 94058 	 | 25 s
layer 96 	 size: 90270 	 | 26 s
layer 97 	 size: 85688 	 | 27 s
layer 98 	 size: 80579 	 | 27 s
layer 99 	 size: 75471 	 | 28 s
layer 100 	 size: 70906 	 | 29 s
layer 101 	 size: 66699 	 | 29 s
layer 102 	 size: 62617 	 | 30 s
layer 103 	 size: 59095 	 | 30 s
layer 104 	 size: 56111 	 | 31 s
layer 105 	 size: 53401 	 | 31 s
layer 106 	 size: 51238 	 | 31 s
layer 107 	 size: 49300 	 | 32 s
layer 108 	 size: 47494 	 | 32 s
found the goal!
-------
0b1111100
0b1111100
0b100
0b1111100
0b1111100
0b1111100
-------
33.30s user 1.17s system 99% cpu 34.501 total
